"Please enter from < to","Please enter from < to"
"Please submit again","Please submit again"
"Report Time","Report Time"
"Abandoned cart","Abandoned cart"
Recover,Recover
"Abandoned Cart Email Report","Abandoned Cart Email Report"
"Abandoned Cart Email","Abandoned Cart Email"
"General Configuration","General Configuration"
Enabled,Enabled
"Select Yes to enable this module.","Select Yes to enable this module."
Email,Email
"Ex: 1d 4h","Ex: 1d 4h"
"Send Test Email To","Send Test Email To"
Analytics,Analytics
Source,Source
Medium,Medium
Name,Name
Term,Term
Content,Content
Coupon,Coupon
Rule,Rule
"Please select rule to use this feature.","Please select rule to use this feature."
Valid,Valid
Hour(s),Hour(s)
"Code Length","Code Length"
"Excluding prefix, suffix and separators. If empty default 5","Excluding prefix, suffix and separators. If empty default 5"
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
ID,ID
Subject,Subject
Receiver,Receiver
"Sequent number","Sequent number"
"Sent Date","Sent Date"
Status,Status
